Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
07117362,07117362,http://www.linear.com/docs/1799,MSOP65P490X110-8N,LTC2051-MS8,Digikey,LTC2051HMS8#PBF-ND,LTC2051HMS8#PBF,LTC2051HMS8#PBF,Linear Technology,IC OPAMP CHOPPER 3MHZ RRO 8MSOP,Chopper (Zero-Drift),2,Rail-to-Rail,2 V/µs,3MHz,-,90pA,1µV,850µA,-,2.7 V ~ 7 V,-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
07117369,07117369,http://www.linear.com/docs/2537,SOIC127P599X175-14N,LT1679,Digikey,LT1679CS#PBF-ND,LT1679CS#PBF,LT1679CS#PBF,Linear Technology,IC OPAMP GP 20MHZ RRO 14SO,General Purpose,4,Rail-to-Rail,6 V/µs,20MHz,-,2nA,20µV,2.5mA,35mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SO
07117370,07117370,http://www.linear.com/docs/3650,SOIC127P599X175-8N,LT1220CS8,Digikey,LT1220CS8#PBF-ND,LT1220CS8#PBF,LT1220CS8,Linear Technology,IC OPAMP GP 45MHZ 8SO,General Purpose,1,-,250 V/µs,45MHz,-,100nA,500µV,8mA,26mA,±5 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO
07117371,07117371,http://www.ti.com/lit/ds/symlink/opa2211a.pdf,SOIC127P600X170-9N,OPA2211,Digikey,296-24510-5-ND,OPA2211AIDDA,OPA2211AIDDA,Texas Instruments,IC OPAMP GP 80MHZ RRO 8SOPWRPAD,General Purpose,2,Rail-to-Rail,27 V/µs,80MHz,-,60nA,50µV,3.6mA,45mA,"4.5 V ~ 36 V, ±2.25 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width) Exposed Pad""",8-SO PowerPad
AMP00001,AMP00001,http://www.analog.com/media/en/technical-documentation/data-sheets/OP184_284_484.pdf,,,Digikey,OP184ESZ-ND,OP184ESZ,OP184ESZ,Analog Devices Inc,IC OPAMP GP 4.25MHZ RRO 8SOIC,General Purpose,1,Rail-to-Rail,4 V/µs,4.25MHz,-,80nA,100µV,2.25mA,10mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00002,AMP00002,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8221.pdf,,,Digikey,AD8221ARZ-ND,AD8221ARZ,AD8221ARZ,Analog Devices Inc,IC OPAMP INSTR 825KHZ 8SOIC,Instrumentation,1,-,2 V/µs,-,825kHz,500pA,60µV,900µA,18mA,"4.6 V ~ 36 V, ±2.3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00003,AMP00003,http://www.linear.com/docs/2762,,,Digikey,LT1789CS8-10#PBF-ND,LT1789CS8-10#PBF,LT1789CS8-10#PBF,Linear Technology,IC OPAMP INSTR 25KHZ 8SO,Instrumentation,1,-,0.066 V/µs,25kHz,-,17nA,30µV,85µA,8.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00004,AMP00004,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8618ARZ-ND,AD8618ARZ,AD8618ARZ,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00005,AMP00005,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8618ARUZ-ND,AD8618ARUZ,AD8618ARUZ,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00006,AMP00006,http://www.analog.com/media/en/technical-documentation/data-sheets/OP196_296_496.pdf,,,Digikey,OP496GSZ-REEL7CT-ND,OP496GSZ-REEL7,OP496GSZ-REEL7,Analog Devices Inc,IC OPAMP GP 450KHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,0.3 V/µs,450kHz,-,10nA,35µV,60µA,4mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00007,AMP00007,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8253.pdf,,,Digikey,AD8253ARMZ-R7CT-ND,AD8253ARMZ-R7,AD8253ARMZ-R7,Analog Devices Inc,IC OPAMP INSTR 10MHZ 10MSOP,Instrumentation,1,-,20 V/µs,-,10MHz,5nA,150µV,4.6mA,37mA,±5 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-MSOP
AMP00008,AMP00008,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4091-2_4091-4.pdf,,,Digikey,ADA4091-2ARZ-ND,ADA4091-2ARZ,ADA4091-2ARZ,Analog Devices Inc,IC OPAMP GP 1.27MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,0.46 V/µs,1.27MHz,-,50nA,35µV,200µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00009,AMP00009,http://www.linear.com/docs/1799,,,Digikey,LTC2051HVIMS8#PBF-ND,LTC2051HVIMS8#PBF,LTC2051HVIMS8#PBF,Linear Technology,IC OPAMP CHOPPER 3MHZ RRO 8MSOP,Chopper (Zero-Drift),2,Rail-to-Rail,2 V/µs,3MHz,-,90pA,1µV,1mA,-,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00010,AMP00010,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8597_8599.pdf,,,Digikey,AD8597ARZ-ND,AD8597ARZ,AD8597ARZ,Analog Devices Inc,IC OPAMP GP 10MHZ 8SOIC,General Purpose,1,-,16 V/µs,10MHz,-,25nA,10µV,5mA,52mA,"9 V ~ 36 V, ±4.5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00011,AMP00011,http://www.analog.com/media/en/technical-documentation/data-sheets/OP177.pdf,,,Digikey,OP177FSZ-ND,OP177FSZ,OP177FSZ,Analog Devices Inc,IC OPAMP GP 600KHZ 8SOIC,General Purpose,1,-,0.3 V/µs,600kHz,-,1.2nA,10µV,1.6mA,-,"6 V ~ 36 V, ±3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00012,AMP00012,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8641_8642_8643.pdf,,,Digikey,AD8642ARZ-ND,AD8642ARZ,AD8642ARZ,Analog Devices Inc,IC OPAMP JFET 3.5MHZ RRO 8SOIC,J-FET,2,Rail-to-Rail,3 V/µs,3.5MHz,-,0.25pA,70µV,200µA,12mA,"5 V ~ 26 V, ±2.5 V ~ 13 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00013,AMP00013,http://www.analog.com/media/en/technical-documentation/data-sheets/OP297.pdf,,,Digikey,OP297GSZ-ND,OP297GSZ,OP297GSZ,Analog Devices Inc,IC OPAMP GP 500KHZ 8SOIC,General Purpose,2,-,0.15 V/µs,500kHz,-,50pA,80µV,525µA,-,"4 V ~ 40 V, ±2 V ~ 20 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
